timestamp,data_hora,abertura,alta,baixa,fechamento,volume,retorno,amplitude,pos_fechamento,media_volume_20,volume_relativo,media_curta,media_longa,diff_medias,alvo
1766886600000,2025-12-28 01:50:00,87817.74,87817.75,87787.89,87787.9,9.37302,-0.00033979467018863227,0.00034002241460552937,0.00033489618200695335,14.272386500000001,0.6567240874537695,87825.838,87816.58899999999,0.00010532178606949436,0
1766886900000,2025-12-28 01:55:00,87787.89,87787.9,87775.46,87785.96,5.47116,-2.198480906641013e-05,0.0001417051941900845,0.844051446939382,14.056453,0.38922763801081256,87815.394,87821.16766666668,-6.574345138053287e-05,0
1766887200000,2025-12-28 02:00:00,87785.97,87785.97,87755.8,87755.81,9.83183,-0.0003435628722904525,0.00034367678570958724,0.00033145508766087983,14.213537499999997,0.6917229437077154,87805.312,87824.21200000001,-0.00021520261405828187,1
1766887500000,2025-12-28 02:05:00,87755.8,87779.37,87755.8,87770.45,12.39238,0.00016694053270546424,0.00026858623589543293,0.6215528213804297,13.219044499999999,0.9374641260947416,87799.66299999999,87827.74499999998,-0.00031973950828402667,1
1766887800000,2025-12-28 02:10:00,87770.45,87799.37,87770.45,87787.3,9.65602,0.00019197805183869765,0.0003294958610785094,0.5826417703993283,13.041496,0.7404073888455741,87797.843,87831.05933333334,-0.0003781843642268188,1
1766888100000,2025-12-28 02:15:00,87787.29,87808.14,87787.29,87806.16,13.80977,0.00021495138988810223,0.00023750590774593706,0.9050359712189029,12.684007000000001,1.088754523708478,87797.90800000001,87830.975,-0.0003764844919459844,1
1766888400000,2025-12-28 02:20:00,87806.17,87815.92,87802.0,87809.01,13.05826,3.234396853884536e-05,0.00015853100072578332,0.5035919540190575,12.406520500000001,1.0525320133070348,87796.65800000001,87828.85233333333,-0.000366557600128173,1
1766888700000,2025-12-28 02:25:00,87809.0,87809.01,87809.0,87809.0,2.586,0.0,1.1388354262958593e-07,0.0,11.7961715,0.2192236693066051,87795.12700000001,87826.58533333334,-0.00035818691133137926,1
1766889000000,2025-12-28 02:30:00,87809.0,87872.67,87809.0,87866.84,13.91927,0.0006587024109145589,0.0007250965163024093,0.9084341133957475,11.842659,1.1753500628532831,87799.617,87825.438,-0.00029400365757351846,0
1766889300000,2025-12-28 02:35:00,87866.84,87866.85,87846.22,87849.99,7.27233,-0.00019176745174847838,0.00023478709374326716,0.18274357731386087,11.787285,0.6169639573489569,87802.842,87826.12233333333,-0.0002650729955373748,0
1766889600000,2025-12-28 02:40:00,87850.0,87850.0,87842.77,87842.77,6.07857,-8.229937393279368e-05,8.229937393279368e-05,0.0,10.6975515,0.5682206811530658,87808.329,87827.04400000001,-0.00021308926211852306,0
1766889900000,2025-12-28 02:45:00,87842.77,87842.78,87806.78,87806.79,7.21091,-0.00040959546243829145,0.0004098231419614841,0.00027777777763148703,10.3916105,0.6939165012006561,87810.41200000001,87827.19366666667,-0.00019107597506023242,1
1766890200000,2025-12-28 02:50:00,87806.78,87810.78,87806.78,87810.77,5.85897,4.544068237105653e-05,4.5554568792979314e-05,0.9974999999763722,10.21079,0.5738018312001325,87815.908,87828.10700000002,-0.00013889631026685283,1
1766890500000,2025-12-28 02:55:00,87810.78,87810.79,87810.77,87810.78,3.29932,0.0,2.2776246822454624e-07,0.49999999749999996,9.325354,0.3538010460514421,87819.941,87830.58466666666,-0.00012118405800269467,0
1766890800000,2025-12-28 03:00:00,87810.79,87810.79,87810.78,87810.78,6.52871,-1.1388122114333912e-07,1.1388122114333912e-07,0.0,8.89385,0.734070172085205,87822.289,87830.79533333333,-9.684909832639768e-05,0
1766891100000,2025-12-28 03:05:00,87810.79,87845.45,87799.8,87806.63,28.05149,-4.73745880203212e-05,0.0005198677747916193,0.14961664841155872,9.946599500000001,2.820209057376845,87822.336,87828.11133333335,-6.575723018150725e-05,0
1766891400000,2025-12-28 03:10:00,87806.64,87806.64,87781.0,87781.01,13.25786,-0.0002918913649355522,0.0002920052515390569,0.00039001560041819564,10.111126,1.3112149922768246,87819.536,87824.612,-5.779701025039464e-05,0
1766891700000,2025-12-28 03:15:00,87781.0,87810.94,87781.0,87786.88,20.20972,6.698488283346803e-05,0.0003410760870803742,0.1963927855706266,10.281759500000001,1.9655896444572545,87817.324,87820.75433333333,-3.906062250748978e-05,0
1766892000000,2025-12-28 03:20:00,87786.88,87802.68,87765.99,87766.0,19.80152,-0.0002378487537090355,0.0004179440025660756,0.00027255382923786824,10.601464,1.8678099553042862,87807.24,87817.38866666665,-0.00011556557101883182,1
1766892300000,2025-12-28 03:25:00,87766.0,87766.0,87725.47,87735.44,34.28347,-0.0003481986190551885,0.00046179613973519173,0.24599062422839504,12.097529,2.8339233574062934,87795.785,87813.40466666667,-0.00020064894116733726,1
1766892600000,2025-12-28 03:30:00,87735.44,87778.04,87735.44,87778.04,22.39319,0.00048555065091132236,0.00048555065091132236,0.9999999999976525,12.7485375,1.7565301117873326,87789.312,87807.82633333332,-0.00021085060530968226,0
1766892900000,2025-12-28 03:35:00,87778.04,87778.04,87758.0,87777.33,12.27661,-8.08858343148071e-06,0.000228303115448848,0.9645708582790153,13.08881,0.9379469944173687,87786.36600000001,87804.05733333333,-0.00020148651293139236,0
1766893200000,2025-12-28 03:40:00,87777.32,87777.32,87759.46,87759.53,22.18574,-0.0002026719430487072,0.00020346941556202195,0.00391937289989019,13.7065055,1.618628468065766,87781.242,87800.82066666667,-0.00022298956340052896,0
1766893500000,2025-12-28 03:45:00,87759.54,87769.46,87749.32,87749.32,11.65694,-0.00011645457576448797,0.0002294907197553613,0.0,13.669733500000001,0.8527554688611888,87775.09599999999,87798.23333333334,-0.00026352846127898654,0
1766893800000,2025-12-28 03:50:00,87749.32,87758.69,87749.32,87758.68,4.61484,0.00010666749326360626,0.00010678145426078907,0.9989327641292197,13.417674499999999,0.34393739392023565,87769.886,87796.67266666667,-0.00030509888191738755,1
1766894100000,2025-12-28 03:55:00,87758.68,87758.69,87740.0,87740.01,13.45515,-0.00021274248883413306,0.00021297038651905807,0.0005350454785824806,13.399943500000001,1.0041199054309444,87763.224,87794.48933333332,-0.00035611954202054895,1
1766894400000,2025-12-28 04:00:00,87740.0,87785.83,87693.0,87771.16,33.62848,0.00035514018691592766,0.0010580123090950734,0.8419691909934054,14.4284545,2.3307056206193115,87762.239,87792.811,-0.00034822896831495823,1
1766894700000,2025-12-28 04:05:00,87771.16,87775.56,87740.0,87775.55,27.07203,5.001642908672299e-05,0.0004051444688665123,0.9997187851491919,15.652756,1.7295375970851397,87761.106,87791.18566666666,-0.00034262741114884324,1
1766895000000,2025-12-28 04:10:00,87775.55,87837.99,87775.55,87813.93,24.96835,0.00043725160366400555,0.0007113598262842252,0.6146700832787829,16.20521,1.5407606566036478,87765.899,87790.91866666666,-0.0002849915121819938,0
1766895300000,2025-12-28 04:15:00,87813.93,87813.93,87792.67,87792.67,3.00131,-0.0002421028189946033,0.0002421028189946033,0.0,15.991658999999999,0.18767971478131196,87771.622,87790.083,-0.00021028571074475114,1
1766895600000,2025-12-28 04:20:00,87792.68,87792.68,87792.67,87792.68,4.53354,0.0,1.139047127250394e-07,0.9999999900000002,15.9144075,0.28487017188670083,87773.086,87790.24233333333,-0.0001954241482577421,0
1766895900000,2025-12-28 04:25:00,87792.68,87802.52,87759.37,87802.52,14.05509,0.00011208223738028114,0.0004914988356661254,0.9999999999976824,16.2566165,0.8645765864009894,87775.60500000001,87790.79433333334,-0.00017301738124906113,0
1766896200000,2025-12-28 04:30:00,87802.52,87802.52,87792.67,87792.67,4.35501,-0.00011218356830767295,0.00011218356830767295,0.0,16.1814185,0.26913647898050475,87778.919,87792.023,-0.00014926185264014973,0
1766896500000,2025-12-28 04:35:00,87792.68,87792.68,87740.0,87770.54,12.36003,-0.0002521850341053425,0.0006000500269497755,0.5797266514794926,16.634453999999998,0.7430379139585827,87781.041,87792.02600000001,-0.00012512525909830503,0
1766896800000,2025-12-28 04:40:00,87770.53,87770.54,87757.26,87757.26,3.47389,-0.0001511896988659414,0.000151303632323957,0.0,16.481713000000003,0.21077238755461883,87780.899,87791.02466666666,-0.0001153382900485058,0
1766897100000,2025-12-28 04:45:00,87757.26,87769.56,87696.5,87725.1,14.44542,-0.00036646540696449434,0.0008325237137075345,0.3914590747326524,15.8014095,0.9141855351574808,87779.408,87788.32266666667,-0.00010154729462741285,0
1766897400000,2025-12-28 04:50:00,87725.1,87725.1,87723.38,87723.38,4.08833,-1.9606703212662785e-05,1.9606703212662785e-05,0.0,15.342933000000002,0.26646339392865753,87774.62999999999,87785.46833333332,-0.00012346386639048866,0
1766897700000,2025-12-28 04:55:00,87723.38,87734.91,87723.38,87724.87,5.09479,1.698520964411867e-05,0.00013143588402543126,0.1292281006051964,14.587186500000001,0.3492647468379183,87769.562,87782.664,-0.00014925498273780973,0
1766898000000,2025-12-28 05:00:00,87724.86,87724.87,87633.28,87678.0,18.65828,-0.0005341701314769905,0.0010440598024322467,0.4882629107976203,14.5300245,1.2841189634607981,87755.969,87776.36933333334,-0.00023241258995194516,1
1766898300000,2025-12-28 05:05:00,87678.0,87722.93,87677.99,87684.86,17.12761,7.824083578549445e-05,0.0005125573119823419,0.15287049399158711,13.6722315,1.2527296659656473,87745.188,87770.86499999999,-0.00029254582371947735,1
1766898600000,2025-12-28 05:10:00,87684.86,87702.71,87684.86,87695.06,4.61239,0.00011632566899231053,0.0002035699207366679,0.5714285714250208,12.783191500000001,0.36081678037914083,87735.426,87765.94133333332,-0.0003476899224201105,0
1766898900000,2025-12-28 05:15:00,87695.05,87695.06,87685.5,87685.5,8.87931,-0.00010890010325557612,0.00010901413477724993,0.0,12.613326500000001,0.7039625906774077,87723.724,87761.89833333333,-0.00043497615774372585,0
1766899200000,2025-12-28 05:20:00,87685.5,87685.51,87642.0,87642.0,9.54627,-0.0004960911439177515,0.0004962051878588222,0.0,11.981353,0.7967605995750229,87708.657,87756.27266666666,-0.0005425898938018199,0
1766899500000,2025-12-28 05:25:00,87642.0,87642.01,87614.79,87638.78,5.44678,-3.674037561900874e-05,0.0003105816845804656,0.8813372520174901,11.670845,0.4666997119745829,87695.481,87750.53933333333,-0.0006274415377002656,0
